2026-01-23 14:41:59 | metrics_collector | INFO | Elapsed: 59.9s | Total: 7,209 | Current TPS: 161 | Avg TPS: 139
2026-01-23 14:42:00 | metrics_collector | INFO | Elapsed: 61.0s | Total: 7,380 | Current TPS: 171 | Avg TPS: 139
2026-01-23 14:42:01 | metrics_collector | INFO | Elapsed: 62.1s | Total: 7,520 | Current TPS: 140 | Avg TPS: 139
2026-01-23 14:42:02 | metrics_collector | INFO | Elapsed: 63.1s | Total: 7,682 | Current TPS: 162 | Avg TPS: 140
2026-01-23 14:42:03 | metrics_collector | INFO | Elapsed: 64.2s | Total: 7,855 | Current TPS: 173 | Avg TPS: 140
2026-01-23 14:42:04 | metrics_collector | INFO | Elapsed: 65.3s | Total: 8,004 | Current TPS: 149 | Avg TPS: 140
2026-01-23 14:42:05 | metrics_collector | INFO | Elapsed: 66.3s | Total: 8,154 | Current TPS: 150 | Avg TPS: 141
2026-01-23 14:42:06 | metrics_collector | INFO | Elapsed: 67.4s | Total: 8,291 | Current TPS: 137 | Avg TPS: 141
2026-01-23 14:42:07 | metrics_collector | INFO | Elapsed: 68.4s | Total: 8,432 | Current TPS: 141 | Avg TPS: 141
2026-01-23 14:42:08 | metrics_collector | INFO | Elapsed: 69.4s | Total: 8,595 | Current TPS: 163 | Avg TPS: 141
2026-01-23 14:42:09 | metrics_collector | INFO | Elapsed: 70.5s | Total: 8,736 | Current TPS: 141 | Avg TPS: 141
2026-01-23 14:42:10 | metrics_collector | INFO | Elapsed: 71.5s | Total: 8,872 | Current TPS: 136 | Avg TPS: 141
2026-01-23 14:42:11 | metrics_collector | INFO | Elapsed: 72.5s | Total: 9,019 | Current TPS: 147 | Avg TPS: 141
2026-01-23 14:42:13 | metrics_collector | INFO | Elapsed: 73.6s | Total: 9,169 | Current TPS: 150 | Avg TPS: 141
2026-01-23 14:42:14 | metrics_collector | INFO | Elapsed: 74.6s | Total: 9,312 | Current TPS: 143 | Avg TPS: 141
2026-01-23 14:42:15 | metrics_collector | INFO | Elapsed: 75.7s | Total: 9,443 | Current TPS: 131 | Avg TPS: 141
2026-01-23 14:42:16 | metrics_collector | INFO | Elapsed: 76.7s | Total: 9,575 | Current TPS: 132 | Avg TPS: 141
2026-01-23 14:42:17 | metrics_collector | INFO | Elapsed: 77.7s | Total: 9,697 | Current TPS: 122 | Avg TPS: 141
2026-01-23 14:42:18 | metrics_collector | INFO | Elapsed: 78.8s | Total: 9,840 | Current TPS: 143 | Avg TPS: 141
2026-01-23 14:42:19 | metrics_collector | INFO | Elapsed: 79.8s | Total: 9,992 | Current TPS: 152 | Avg TPS: 141
2026-01-23 14:42:20 | metrics_collector | INFO | Elapsed: 80.8s | Total: 10,148 | Current TPS: 156 | Avg TPS: 141
2026-01-23 14:42:21 | metrics_collector | INFO | Elapsed: 81.9s | Total: 10,297 | Current TPS: 149 | Avg TPS: 141
2026-01-23 14:42:22 | metrics_collector | INFO | Elapsed: 82.9s | Total: 10,450 | Current TPS: 153 | Avg TPS: 141
2026-01-23 14:42:23 | metrics_collector | INFO | Elapsed: 83.9s | Total: 10,610 | Current TPS: 160 | Avg TPS: 141
2026-01-23 14:42:24 | metrics_collector | INFO | Elapsed: 84.9s | Total: 10,746 | Current TPS: 136 | Avg TPS: 141
2026-01-23 14:42:25 | metrics_collector | INFO | Elapsed: 86.0s | Total: 10,896 | Current TPS: 150 | Avg TPS: 142
2026-01-23 14:42:26 | metrics_collector | INFO | Elapsed: 87.0s | Total: 11,043 | Current TPS: 147 | Avg TPS: 142
2026-01-23 14:42:27 | metrics_collector | INFO | Elapsed: 88.2s | Total: 11,183 | Current TPS: 140 | Avg TPS: 142
2026-01-23 14:42:28 | metrics_collector | INFO | Elapsed: 89.2s | Total: 11,329 | Current TPS: 146 | Avg TPS: 142
2026-01-23 14:42:29 | metrics_collector | INFO | Elapsed: 90.2s | Total: 11,468 | Current TPS: 139 | Avg TPS: 142
2026-01-23 14:42:30 | metrics_collector | INFO | Elapsed: 91.3s | Total: 11,623 | Current TPS: 155 | Avg TPS: 142
2026-01-23 14:42:31 | metrics_collector | INFO | Elapsed: 92.3s | Total: 11,768 | Current TPS: 145 | Avg TPS: 142
2026-01-23 14:42:32 | metrics_collector | INFO | Elapsed: 93.4s | Total: 11,910 | Current TPS: 142 | Avg TPS: 142
2026-01-23 14:42:33 | metrics_collector | INFO | Elapsed: 94.4s | Total: 12,060 | Current TPS: 150 | Avg TPS: 142
2026-01-23 14:42:34 | metrics_collector | INFO | Elapsed: 95.4s | Total: 12,215 | Current TPS: 155 | Avg TPS: 142
2026-01-23 14:42:35 | metrics_collector | INFO | Elapsed: 96.5s | Total: 12,385 | Current TPS: 170 | Avg TPS: 142
2026-01-23 14:42:36 | metrics_collector | INFO | Elapsed: 97.5s | Total: 12,564 | Current TPS: 179 | Avg TPS: 143
2026-01-23 14:42:37 | metrics_collector | INFO | ============================================================
2026-01-23 14:42:37 | metrics_collector | INFO | FINAL SUMMARY
2026-01-23 14:42:37 | metrics_collector | INFO | Total Monitoring Time: 98.43s
2026-01-23 14:42:37 | metrics_collector | INFO | Total Trades: 12,564
2026-01-23 14:42:37 | metrics_collector | INFO | Average TPS: 142.77
2026-01-23 14:42:37 | metrics_collector | INFO | Peak TPS: 179.00
2026-01-23 14:42:37 | metrics_collector | INFO | ============================================================
2026-01-23 14:48:19 | metrics_collector | INFO | Metrics Collector started
2026-01-23 14:48:19 | metrics_collector | INFO | Monitoring database: C:\Users\Harsh\Desktop\post-trade-engine\db\trades.db
2026-01-23 14:48:19 | metrics_collector | INFO | Update interval: 1.0s
2026-01-23 14:48:19 | metrics_collector | INFO | Elapsed: 0.0s | Total: 285 | Current TPS: 285 | Avg TPS: 285
